id	sentence
captured_moments_37195_37263	His lips contorted as if they had lost their ability to shape sound.
Ant_Robot_13063_13316	These sensors will be of the type patented by Peterson, et al (Patent #4,492,949), and will feature several layers of electrically insulating and parallel flexible conductive rods arranged such that an exerted pressure may be measured in output voltage.
1402_8125_8144	Losing electricity.
hotel-california_4128_4435	The ship had all the usual accoutrements (artificial gravity, tastefully painted walls, sound dampeners to keep the noise of the engines from driving the crew batshit insane, recycled air systems), and a few less-usual: lush carpeting, lighting that was decorative as well as functional, spacious corridors.
ch5_27638_27711	Thus "equality before the law" is one contract that Rawls commends to us.
captured_moments_12539_12758	But the truth is that Tasha pointed it out from the one place where it could barely be seen, and I only felt envy that it had been designed by someone with understated good taste.
ucb52_1023_1085	Thank you for your understanding and patience in these matter.
20020731-nyt_34021_34271	They show him as an Army lieutenant, at his swearing-in as a state senator, as ambassador to the United Nations, surrounded by children as New York City school board president, and at other jobs, leading up to his current position, state comptroller.
Nathans_Bylichka_9996_10042	He turned onto the next street and shifted up.
CUP2_8941_9028	The Silicon Valley is notorious for the individual and collective success of its firms.
ch5_24555_24804	If the conversation we recent two-legged ones are having with respect to our digging sticks and atomic bombs is impressive, so too is the chemical conversation in any full-fledged ecosystem, where we are all instrumental in the lives of one another.
vampires_1126_1179	Ninja Warrior is one of the most popular shows on G4.
NYTnewswire3_2107_2202	"If our strategy were anything but to be on the leading edge, we'd have put the plant in Asia."
blog-monastery_847_1074	A good decision: I didn't return all chill and zen, as one friend told me his roommate had, but I certainly gained a few new ideas and approaches to mull over, and dipped my hand into a previously unfamiliar piece of the world.
SemEval_991	Russia plans new ICBMs, nuclear subs
SemEval_699	SPACE.com: Black hole triplets spotted
fcic_final_report_conclusions_33983_34084	In some cases, they were obligated to use them, or regulatory capital standards were hinged on them.
1402_2664_2687	“I’m sorry I love you!”
ucb48_1546_1629	Anatrim helps you to understand that you got no such great need for that much food.
Uprooted_Bike_6687_6744	Fall is exactly 79% more tingly when experienced by bike.
112C-L012_872_930	3. Positive termination of his or her Pleasant Run program
ucb8_464_584	With Anatrim, the ground-breaking pound-melting blend, you can achieve healthier mode of life and become really thinner.
Black_and_white_10174_10292	 For this reason white walls are favored over colored ones for both galleries and architectural spaces.
Ant_Robot_6023_6148	Sensors will include a thermometer, photoreceptors, bump sensors, a polarization compass, and a series of chemical receptors.
hsus4_563_693	The sad truth is animal cruelty, abuse and neglect continues at an alarming rate across the nation and even in your own community.
detroit_13704_13744	Earth to Jessica: Democrats caused this.
Fermentation_HR5034_12677_12812	I will not even waste my time rebutting you point by point because you do not have a clue in many instances what you are talking about.
hotel-california_21389_21437	“A couple weeks, I guess. Maybe a month or two.”
175841_6408_6558	Please do not hesitate to contact m e if you would like to discuss these materials further, or if there is anythi ng else that I can do to assist you.
Ant_Robot_5877_5941	Antie will be implemented on a tiny Road Warrior robotic system.
NYTnewswire4_528_542	So -- does he?
SemEval_922	De Villiers takes over Dakar lead
1401_6335_6380	It hits me as I fumble the keys for the door.
cable_spool_fort_4979_4990	"Time out!"
Nathans_Bylichka_4496_4691	Rachel stepped forward into the crowd while I took a moment to drink in the ceiling’s blue-lit, shadowed vault and the light-catching haze from who-knows-what rising between the DJ and the crowd.
NYTnewswire9_5980_6065	Karnes was deluged with orders for inoculations, equipment, transfers and promotions.
appalachian1_3296_3316	The Call of the Wild
ucb26_359_372	"Unsubscribe"
Anti-Terrorist_2830_2852	NEUTRALIZING TERRORISM
HistoryLasVegas_11247_11353	When the Flamingo opened in December 1946, it did so with Hollywood flair and the new Vegas flash.
